src,dst,instance_limit,lambda_gbps,budget_ms,milp_full_cost,milp_full_sb,milp_fix1_cost,xron_vanilla_cost,xron_fairbatch_cost,milp_full_time,milp_fix1_time,xron_vanilla_time,xron_fairbatch_time
aws:us-east-1,azure:brazilsouth,1,1.0,100.0,41.58,1.9531755857293405,41.58,41.58,41.58,0.8209180830000005,0.8077937500000001,0.0006818329999997985,0.0006073749999995215
aws:us-east-1,azure:brazilsouth,1,1.0,200.0,41.58,6.539171325878435,41.58,41.58,41.58,0.8262257910000006,0.8009886250000005,0.000661875000000478,0.0006167499999989445
aws:us-east-1,azure:brazilsouth,1,1.0,300.0,41.58,11.12516706602753,41.58,41.58,41.58,0.8128777500000002,0.8235310420000008,0.000690791000000246,0.000612083000000041
aws:us-east-1,azure:brazilsouth,1,1.0,500.0,41.58,20.29715854632572,41.58,41.58,41.58,0.8207330840000004,0.8012580000000007,0.0007186249999975303,0.0006088750000010634
aws:us-east-1,azure:brazilsouth,1,1.0,1000.0,41.58,32.0,41.58,41.58,41.58,0.8266555840000009,0.8206416670000003,0.0007307500000024447,0.0006069589999988523
aws:us-east-1,azure:brazilsouth,1,2.0,100.0,105.01200000000001,1.7070449993621146,105.01200000000001,106.97130000000001,106.97130000000001,0.801438000000001,0.8281371670000013,0.000771708000002036,0.0006264589999993575
aws:us-east-1,azure:brazilsouth,1,2.0,200.0,105.01200000000001,5.887904659812861,105.01200000000001,106.97130000000001,106.97130000000001,0.8128357500000014,0.8084467079999982,0.0006785419999992826,0.000610458000000591
aws:us-east-1,azure:brazilsouth,1,2.0,300.0,99.74700000000001,1.9794152738434434,99.74699999999999,106.97130000000001,106.97130000000001,0.8301682499999998,0.8192168329999987,0.0007111250000022551,0.0006246250000003783
aws:us-east-1,azure:brazilsouth,1,2.0,500.0,99.1395,2.503184912081622,99.1395,106.97130000000001,106.97130000000001,0.823664334,0.8072429579999998,0.0007702909999984797,0.0006367089999983477
aws:us-east-1,azure:brazilsouth,1,2.0,1000.0,99.01800000000001,2.19000571210967,99.018,106.97130000000001,106.97130000000001,0.8406967499999993,0.8428994160000016,0.000750958000001134,0.0006717499999986387
