drop,src,dst,instance_limit,lambda_gbps,budget_ms,feasible_nominal,feasible_dropped,cost_nominal,cost_dropped,cost_rel_change_pct
0.1,aws:eu-west-1,gcp:asia-northeast1,2,8.0,500.0,True,True,514.1249999999999,527.7896999999999,2.657855579868717
0.1,aws:eu-west-1,gcp:asia-southeast1,2,8.0,500.0,True,True,525.5010000000001,540.5939999999999,2.87211632328004
0.1,aws:eu-west-1,gcp:europe-west1,2,8.0,500.0,True,True,325.62,325.62,0.0
0.1,aws:eu-west-1,gcp:southamerica-east1,2,8.0,500.0,True,True,547.20927,557.4502799999999,1.8714979006112162
0.1,aws:eu-west-1,gcp:us-east1,2,8.0,500.0,True,True,364.221,367.7229,0.9614766858583053
0.1,aws:eu-west-1,gcp:us-west1,2,8.0,500.0,True,True,371.133,374.4837,0.9028299827824574
0.1,aws:sa-east-1,aws:ap-northeast-1,2,8.0,500.0,True,True,752.76,776.3040000000001,3.1276901004304287
0.1,aws:sa-east-1,aws:ap-southeast-1,2,8.0,500.0,True,True,861.76926,897.4453500000001,4.139865699085163
0.1,aws:sa-east-1,aws:eu-west-1,2,8.0,500.0,True,True,728.6436,753.6272399999999,3.4287874071768316
0.1,aws:sa-east-1,aws:us-east-1,2,8.0,500.0,True,True,702.5076,729.9968399999999,3.9130167417405706
0.1,aws:sa-east-1,aws:us-west-2,2,8.0,500.0,True,True,718.8696,744.83064,3.611369850665549
0.1,aws:sa-east-1,azure:brazilsouth,2,8.0,500.0,True,True,541.62,561.1420800000001,3.6043868394815686
0.1,aws:sa-east-1,azure:eastus,2,8.0,500.0,True,True,722.2356000000001,747.97884,3.564382592051665
0.1,aws:sa-east-1,azure:japaneast,2,8.0,500.0,True,True,862.497,874.8513000000002,1.432387590913382
0.1,aws:sa-east-1,azure:southeastasia,2,8.0,500.0,True,True,902.0465999999998,914.2852499999998,1.3567647170334671
0.1,aws:sa-east-1,azure:westeurope,2,8.0,500.0,True,True,873.1367999999999,889.3652400000001,1.8586365847826147
0.1,aws:sa-east-1,azure:westus2,2,8.0,500.0,True,True,751.0176,773.87184,3.0431031176899186
0.1,aws:sa-east-1,gcp:asia-northeast1,2,8.0,500.0,True,True,873.8091,887.6997,1.5896607165111993
0.1,aws:sa-east-1,gcp:asia-southeast1,2,8.0,500.0,True,True,914.60025,940.2724800000001,2.806934504992769
0.1,aws:sa-east-1,gcp:europe-west1,2,8.0,500.0,True,True,840.7052999999999,849.51036,1.0473420353125098
0.1,aws:sa-east-1,gcp:southamerica-east1,2,8.0,500.0,True,True,541.62,567.7759799999999,4.829212362911245
0.1,aws:sa-east-1,gcp:us-east1,2,8.0,500.0,True,True,767.6568000000001,777.44997,1.2757224322118839
0.1,aws:sa-east-1,gcp:us-west1,2,8.0,500.0,True,True,775.0818,783.75816,1.1194121704315507
0.1,aws:us-east-1,aws:ap-northeast-1,2,8.0,500.0,True,True,303.54120000000006,337.44708000000014,11.170108044641083
0.1,aws:us-east-1,aws:ap-southeast-1,2,8.0,500.0,True,True,430.0370999999999,463.27058999999997,7.728051835527698
0.1,aws:us-east-1,aws:eu-west-1,2,8.0,500.0,True,True,242.22690000000006,282.37221000000005,16.573431769964436
0.1,aws:us-east-1,aws:sa-east-1,2,8.0,500.0,True,True,342.7568999999999,384.94521,12.308522454252582
0.1,aws:us-east-1,aws:us-west-2,2,8.0,500.0,True,True,144.84600000000006,172.66860000000005,19.20840064620354
0.1,aws:us-east-1,azure:brazilsouth,2,8.0,500.0,True,True,509.9409,523.69632,2.6974537637596856
0.1,aws:us-east-1,azure:eastus,2,8.0,500.0,True,True,325.62,331.3998,1.7750138197899463
0.1,aws:us-east-1,azure:japaneast,2,8.0,500.0,True,True,440.69399999999996,454.7646,3.1928276763468566
0.1,aws:us-east-1,azure:southeastasia,2,8.0,500.0,True,True,466.10999999999996,477.74699999999996,2.4966209692990926
0.1,aws:us-east-1,azure:westeurope,2,8.0,500.0,True,True,548.1036,557.71524,1.7536173818234297
0.1,aws:us-east-1,azure:westus2,2,8.0,500.0,True,True,367.2179999999999,370.90620000000007,1.0043625312485136
0.1,aws:us-east-1,gcp:asia-northeast1,2,8.0,500.0,True,True,488.95199999999994,500.82210000000003,2.427661610955696
0.1,aws:us-east-1,gcp:asia-southeast1,2,8.0,500.0,True,True,499.29300000000006,512.9613,2.737530868648266
0.1,aws:us-east-1,gcp:europe-west1,2,8.0,500.0,True,True,397.87199999999996,418.55039999999997,5.197249366630477
0.1,aws:us-east-1,gcp:southamerica-east1,2,8.0,500.0,True,True,521.5824000000001,531.5238,1.906007564672414
0.1,aws:us-east-1,gcp:us-east1,2,8.0,500.0,True,True,333.36,336.24000000000007,0.8639308855291733
0.1,aws:us-east-1,gcp:us-west1,2,8.0,500.0,True,True,347.91299999999995,349.39169999999996,0.42502004811547817
0.1,aws:us-west-2,aws:ap-northeast-1,2,8.0,500.0,True,True,287.61120000000005,323.1100800000001,12.34266259450259
0.1,aws:us-west-2,aws:ap-southeast-1,2,8.0,500.0,True,True,406.2123,440.9469900000001,8.550871059295854
0.1,aws:us-west-2,aws:eu-west-1,2,8.0,500.0,True,True,247.03290000000004,286.69761,16.056448351616304
0.1,aws:us-west-2,aws:sa-east-1,2,8.0,500.0,True,True,352.3149,393.54741,11.703311440986456
0.1,aws:us-west-2,aws:us-east-1,2,8.0,500.0,True,True,164.88000000000028,192.7971,16.931768558951767
