max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
2,gcp:asia-northeast1,azure:eastus,2,10.0,200.0,True,647.5140000000001,6.690699348249023,257.0,3,0.8924045840000012
2,gcp:asia-northeast1,azure:eastus,2,10.0,500.0,True,643.0059000000001,3.339281401612052,257.0,4,0.8855352080000003
2,gcp:asia-northeast1,azure:eastus,2,15.0,200.0,False,,,,0,0.8708593340000021
2,gcp:asia-northeast1,azure:eastus,2,15.0,500.0,False,,,,0,0.8610059589999963
2,azure:japaneast,gcp:us-west1,1,10.0,200.0,True,801.1817999999998,1.8331446239678897,257.0,10,0.8914993329999987
2,azure:japaneast,gcp:us-west1,1,10.0,500.0,True,791.055,2.2121399613423094,257.0,12,0.8859547910000032
2,azure:japaneast,gcp:us-west1,1,15.0,200.0,True,1367.86815,1.3896461633197887,257.0,17,0.8695707500000012
2,azure:japaneast,gcp:us-west1,1,15.0,500.0,True,1326.9154500000002,1.0585361974290457,257.0,28,0.9038213749999997
2,azure:japaneast,gcp:us-west1,2,10.0,200.0,True,686.7485999999999,1.8331446239678897,257.0,6,0.8926770830000024
2,azure:japaneast,gcp:us-west1,2,10.0,500.0,True,685.2905999999999,2.585482301090906,257.0,8,0.8846583330000044
2,azure:japaneast,gcp:us-west1,2,15.0,200.0,True,1137.6881999999998,1.8439312536641204,257.0,7,0.876492374999998
2,azure:japaneast,gcp:us-west1,2,15.0,500.0,True,1126.1465999999996,2.2162452553140604,257.0,10,0.871618790999996
3,aws:us-east-1,azure:brazilsouth,1,10.0,200.0,False,,,,0,17.358835334000005
3,aws:us-east-1,azure:brazilsouth,1,10.0,500.0,False,,,,0,17.131371375
3,aws:us-east-1,azure:brazilsouth,1,15.0,200.0,False,,,,0,16.495763709000002
3,aws:us-east-1,azure:brazilsouth,1,15.0,500.0,False,,,,0,17.796519500000016
3,aws:us-east-1,azure:brazilsouth,2,10.0,200.0,True,688.0293,1.2786093071812275,3617.0,5,16.619219749999985
3,aws:us-east-1,azure:brazilsouth,2,10.0,500.0,True,670.2628499999998,1.4439099155148192,3617.0,8,16.93979083299999
3,aws:us-east-1,azure:brazilsouth,2,15.0,200.0,False,,,,0,16.83987770799999
3,aws:us-east-1,azure:brazilsouth,2,15.0,500.0,False,,,,0,16.35074095799999
3,aws:us-east-1,gcp:europe-west1,1,10.0,200.0,False,,,,0,16.180605291999996
3,aws:us-east-1,gcp:europe-west1,1,10.0,500.0,False,,,,0,16.066853166000016
3,aws:us-east-1,gcp:europe-west1,1,15.0,200.0,False,,,,0,16.20009754100002
3,aws:us-east-1,gcp:europe-west1,1,15.0,500.0,False,,,,0,16.03365150000002
3,aws:us-east-1,gcp:europe-west1,2,10.0,200.0,True,549.576,2.1860040541447567,3617.0,5,15.682387875000018
3,aws:us-east-1,gcp:europe-west1,2,10.0,500.0,True,549.5760000000001,8.760122807524496,3617.0,5,15.665384208999967
3,aws:us-east-1,gcp:europe-west1,2,15.0,200.0,False,,,,0,15.833030708999956
3,aws:us-east-1,gcp:europe-west1,2,15.0,500.0,False,,,,0,15.936915666999994
3,gcp:asia-northeast1,azure:eastus,1,10.0,200.0,False,,,,0,16.026130832999968
3,gcp:asia-northeast1,azure:eastus,1,10.0,500.0,False,,,,0,15.537756207999962
3,gcp:asia-northeast1,azure:eastus,1,15.0,200.0,False,,,,0,16.69819379200004
3,gcp:asia-northeast1,azure:eastus,1,15.0,500.0,False,,,,0,15.936683500000015
3,gcp:asia-northeast1,azure:eastus,2,10.0,200.0,True,647.5140000000011,6.690699348249023,3617.0,3,15.845652625000014
3,gcp:asia-northeast1,azure:eastus,2,10.0,500.0,True,643.0059,3.339281401612052,3617.0,4,16.283210542000006
3,gcp:asia-northeast1,azure:eastus,2,15.0,200.0,False,,,,0,16.24880620900001
3,gcp:asia-northeast1,azure:eastus,2,15.0,500.0,False,,,,0,16.319309957999963
3,azure:japaneast,gcp:us-west1,1,10.0,200.0,True,801.1818,1.8331446239678897,3617.0,10,16.45674220799998
3,azure:japaneast,gcp:us-west1,1,10.0,500.0,True,791.055,2.2121399613423094,3617.0,12,16.384799708000003
3,azure:japaneast,gcp:us-west1,1,15.0,200.0,True,1367.86815,1.3896461633197852,3617.0,17,15.921598834000008
3,azure:japaneast,gcp:us-west1,1,15.0,500.0,True,1326.9154499999997,1.0452789376676996,3617.0,28,15.911700708000012
3,azure:japaneast,gcp:us-west1,2,10.0,200.0,True,686.7485999999999,1.8331446239678897,3617.0,6,15.713541582999937
3,azure:japaneast,gcp:us-west1,2,10.0,500.0,True,685.2906,2.585482301090906,3617.0,8,16.132356791999996
3,azure:japaneast,gcp:us-west1,2,15.0,200.0,True,1137.6881999999998,1.8439312536641204,3617.0,7,15.736989582999968
3,azure:japaneast,gcp:us-west1,2,15.0,500.0,True,1126.1465999999998,2.2162452553140604,3617.0,10,16.132267625000054
