max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
1,azure:japaneast,gcp:us-west1,1,5.0,200.0,True,348.6955499999999,1.8015288712931188,17.0,6,0.07378908299999942
1,azure:japaneast,gcp:us-west1,1,5.0,500.0,True,348.0327,2.5684670687496443,17.0,7,0.09159245800000004
1,azure:japaneast,gcp:us-west1,1,10.0,200.0,True,820.1713500000001,1.833144623967889,17.0,10,0.07551570900000026
1,azure:japaneast,gcp:us-west1,1,10.0,500.0,True,818.0369999999999,1.3979678076879836,17.0,12,0.0737510419999996
1,azure:japaneast,gcp:us-west1,1,15.0,200.0,False,,,,0,0.07206670900000045
1,azure:japaneast,gcp:us-west1,1,15.0,500.0,False,,,,0,0.0926304999999994
1,azure:japaneast,gcp:us-west1,2,5.0,200.0,True,296.32860000000005,1.8015288712931188,17.0,4,0.07522387499999983
1,azure:japaneast,gcp:us-west1,2,5.0,500.0,True,296.32860000000005,8.269053090618446,17.0,4,0.07590783299999959
1,azure:japaneast,gcp:us-west1,2,10.0,200.0,True,695.2310999999999,1.8331446239678897,17.0,6,0.11354895799999998
1,azure:japaneast,gcp:us-west1,2,10.0,500.0,True,693.3654,2.585482301090906,17.0,7,0.14466491700000006
1,azure:japaneast,gcp:us-west1,2,15.0,200.0,True,1145.7711,1.8439312536641204,17.0,6,0.07341241600000004
1,azure:japaneast,gcp:us-west1,2,15.0,500.0,True,1143.9054,2.5912042539450617,17.0,7,0.07411054200000056
1,azure:japaneast,gcp:us-west1,4,5.0,200.0,True,272.7,10.454646915584814,17.0,1,0.08933141600000027
1,azure:japaneast,gcp:us-west1,4,5.0,500.0,True,272.7,31.024537551264924,17.0,1,0.07278345799999997
1,azure:japaneast,gcp:us-west1,4,10.0,200.0,True,591.0372000000002,1.8331446239678897,17.0,4,0.06860362500000061
1,azure:japaneast,gcp:us-west1,4,10.0,500.0,True,591.0372000000002,8.414170019652104,17.0,4,0.08816145800000008
1,azure:japaneast,gcp:us-west1,4,15.0,200.0,True,968.4072000000001,1.8439312536641204,17.0,5,0.07031258399999984
1,azure:japaneast,gcp:us-west1,4,15.0,500.0,True,968.4072000000001,8.463680862940976,17.0,5,0.07276912500000066
2,aws:us-east-1,azure:brazilsouth,1,5.0,200.0,True,344.82464999999996,1.2615158023875956,257.0,5,0.8696804999999994
2,aws:us-east-1,azure:brazilsouth,1,5.0,500.0,True,335.73419999999993,1.4366839396424476,257.0,8,0.9889305000000004
2,aws:us-east-1,azure:brazilsouth,1,10.0,200.0,False,,,,0,0.8876250839999997
