src_region,dst_region,src_tier,dst_tier,throughput_sent
aws:us-east-1,aws:sa-east-1,PREMIUM,PREMIUM,1.336
aws:us-east-1,aws:us-west-2,PREMIUM,PREMIUM,2.338
aws:us-east-1,azure:brazilsouth,PREMIUM,PREMIUM,1.378
aws:us-east-1,azure:eastus,PREMIUM,PREMIUM,4.121
aws:us-east-1,azure:japaneast,PREMIUM,PREMIUM,0.912
aws:us-east-1,azure:southeastasia,PREMIUM,PREMIUM,0.067
aws:us-east-1,azure:westeurope,PREMIUM,PREMIUM,0.194
aws:us-east-1,azure:westus2,PREMIUM,PREMIUM,1.749
aws:us-east-1,gcp:asia-northeast1,PREMIUM,PREMIUM,0.457
aws:us-east-1,gcp:asia-southeast1,PREMIUM,PREMIUM,0.030
aws:us-east-1,gcp:europe-west1,PREMIUM,PREMIUM,1.039
aws:us-east-1,gcp:southamerica-east1,PREMIUM,PREMIUM,1.209
aws:us-east-1,gcp:us-east1,PREMIUM,PREMIUM,3.200
aws:us-east-1,gcp:us-west1,PREMIUM,PREMIUM,1.643
aws:us-west-2,aws:ap-northeast-1,PREMIUM,PREMIUM,1.204
aws:us-west-2,aws:ap-southeast-1,PREMIUM,PREMIUM,0.675
aws:us-west-2,aws:eu-west-1,PREMIUM,PREMIUM,0.984
aws:us-west-2,aws:sa-east-1,PREMIUM,PREMIUM,0.689
aws:us-west-2,aws:us-east-1,PREMIUM,PREMIUM,2.128
aws:us-west-2,azure:brazilsouth,PREMIUM,PREMIUM,0.114
aws:us-west-2,azure:eastus,PREMIUM,PREMIUM,1.845
aws:us-west-2,azure:japaneast,PREMIUM,PREMIUM,0.984
aws:us-west-2,azure:southeastasia,PREMIUM,PREMIUM,0.442
aws:us-west-2,azure:westeurope,PREMIUM,PREMIUM,0.879
aws:us-west-2,azure:westus2,PREMIUM,PREMIUM,2.985
aws:us-west-2,gcp:asia-northeast1,PREMIUM,PREMIUM,0.810
aws:us-west-2,gcp:asia-southeast1,PREMIUM,PREMIUM,0.180
aws:us-west-2,gcp:europe-west1,PREMIUM,PREMIUM,0.272
aws:us-west-2,gcp:southamerica-east1,PREMIUM,PREMIUM,0.106
aws:us-west-2,gcp:us-east1,PREMIUM,PREMIUM,1.369
aws:us-west-2,gcp:us-west1,PREMIUM,PREMIUM,2.468
azure:brazilsouth,aws:ap-northeast-1,PREMIUM,PREMIUM,0.036
azure:brazilsouth,aws:ap-southeast-1,PREMIUM,PREMIUM,0.033
azure:brazilsouth,aws:eu-west-1,PREMIUM,PREMIUM,0.405
azure:brazilsouth,aws:sa-east-1,PREMIUM,PREMIUM,3.825
azure:brazilsouth,aws:us-east-1,PREMIUM,PREMIUM,0.462
azure:brazilsouth,aws:us-west-2,PREMIUM,PREMIUM,0.166
azure:brazilsouth,azure:eastus,PREMIUM,PREMIUM,2.082
azure:brazilsouth,azure:japaneast,PREMIUM,PREMIUM,0.049
azure:brazilsouth,azure:southeastasia,PREMIUM,PREMIUM,0.046
azure:brazilsouth,azure:westeurope,PREMIUM,PREMIUM,0.239
azure:brazilsouth,azure:westus2,PREMIUM,PREMIUM,0.124
