src_region,dst_region,latency_rtt_ms
azure:brazilsouth,gcp:southamerica-east1,4.08
azure:brazilsouth,gcp:us-east1,126.61
azure:brazilsouth,gcp:us-west1,179.32
azure:eastus,aws:ap-northeast-1,158.59
azure:eastus,aws:ap-southeast-1,225.09
azure:eastus,aws:eu-west-1,67.45
azure:eastus,aws:sa-east-1,114.43
azure:eastus,aws:us-east-1,3.44
azure:eastus,aws:us-west-2,75.65
azure:eastus,azure:brazilsouth,114.89
azure:eastus,azure:japaneast,160.03
azure:eastus,azure:southeastasia,223.48
azure:eastus,azure:westeurope,82.88
azure:eastus,azure:westus2,59.91
azure:eastus,gcp:asia-northeast1,161.87
azure:eastus,gcp:asia-southeast1,223.55
azure:eastus,gcp:europe-west1,90.67
azure:eastus,gcp:southamerica-east1,115.41
azure:eastus,gcp:us-east1,20.37
azure:eastus,gcp:us-west1,69.19
azure:japaneast,aws:ap-northeast-1,2.34
azure:japaneast,aws:ap-southeast-1,68.57
azure:japaneast,aws:eu-west-1,244.94
azure:japaneast,aws:sa-east-1,273.36
azure:japaneast,aws:us-east-1,161.98
azure:japaneast,aws:us-west-2,99.98
azure:japaneast,azure:brazilsouth,264.61
azure:japaneast,azure:eastus,159.81
azure:japaneast,azure:southeastasia,70.09
azure:japaneast,azure:westeurope,232.94
azure:japaneast,azure:westus2,98.86
azure:japaneast,gcp:asia-northeast1,2.57
azure:japaneast,gcp:asia-southeast1,75.69
azure:japaneast,gcp:europe-west1,243.34
azure:japaneast,gcp:southamerica-east1,261.25
azure:japaneast,gcp:us-east1,157.99
azure:japaneast,gcp:us-west1,95.05
azure:southeastasia,aws:ap-northeast-1,70.78
azure:southeastasia,aws:ap-southeast-1,1.76
azure:southeastasia,aws:eu-west-1,182.51
azure:southeastasia,aws:sa-east-1,329.27
azure:southeastasia,aws:us-east-1,222.37
azure:southeastasia,aws:us-west-2,160.60
azure:southeastasia,azure:brazilsouth,324.75
azure:southeastasia,azure:eastus,223.80
azure:southeastasia,azure:japaneast,69.91
azure:southeastasia,azure:westeurope,177.20
azure:southeastasia,azure:westus2,163.92
azure:southeastasia,gcp:asia-northeast1,73.52
azure:southeastasia,gcp:asia-southeast1,1.63
azure:southeastasia,gcp:europe-west1,172.83
azure:southeastasia,gcp:southamerica-east1,318.97
azure:southeastasia,gcp:us-east1,225.42
azure:southeastasia,gcp:us-west1,162.78
azure:westeurope,aws:ap-northeast-1,220.97
azure:westeurope,aws:ap-southeast-1,163.52
azure:westeurope,aws:eu-west-1,20.53
azure:westeurope,aws:sa-east-1,191.33
azure:westeurope,aws:us-east-1,83.00
azure:westeurope,aws:us-west-2,156.06
azure:westeurope,azure:brazilsouth,184.83
azure:westeurope,azure:eastus,82.61
azure:westeurope,azure:japaneast,229.70
azure:westeurope,azure:southeastasia,177.43
azure:westeurope,azure:westus2,140.54
azure:westeurope,gcp:asia-northeast1,242.41
azure:westeurope,gcp:asia-southeast1,161.53
azure:westeurope,gcp:europe-west1,14.96
azure:westeurope,gcp:southamerica-east1,190.65
azure:westeurope,gcp:us-east1,100.02
azure:westeurope,gcp:us-west1,142.61
azure:westus2,aws:ap-northeast-1,98.19
azure:westus2,aws:ap-southeast-1,161.28
azure:westus2,aws:eu-west-1,132.38
azure:westus2,aws:sa-east-1,181.38
azure:westus2,aws:us-east-1,69.24
azure:westus2,aws:us-west-2,13.33
azure:westus2,azure:brazilsouth,179.84
azure:westus2,azure:eastus,60.36
azure:westus2,azure:japaneast,98.67
azure:westus2,azure:southeastasia,164.16
azure:westus2,azure:westeurope,140.49
azure:westus2,gcp:asia-northeast1,100.89
azure:westus2,gcp:asia-southeast1,163.80
azure:westus2,gcp:europe-west1,154.62
azure:westus2,gcp:southamerica-east1,179.23
azure:westus2,gcp:us-east1,70.93
azure:westus2,gcp:us-west1,12.10
gcp:asia-northeast1,aws:ap-northeast-1,3.71
gcp:asia-northeast1,aws:ap-southeast-1,78.89
gcp:asia-northeast1,aws:eu-west-1,245.65
gcp:asia-northeast1,aws:sa-east-1,263.90
gcp:asia-northeast1,aws:us-east-1,162.39
gcp:asia-northeast1,aws:us-west-2,107.64
gcp:asia-northeast1,azure:brazilsouth,260.33
gcp:asia-northeast1,azure:eastus,163.52
gcp:asia-northeast1,azure:japaneast,3.60
gcp:asia-northeast1,azure:southeastasia,73.87
gcp:asia-northeast1,azure:westeurope,242.94
gcp:asia-northeast1,azure:westus2,101.21
gcp:asia-northeast1,gcp:asia-southeast1,72.49
gcp:asia-northeast1,gcp:europe-west1,238.93
gcp:asia-northeast1,gcp:southamerica-east1,252.72
gcp:asia-northeast1,gcp:us-east1,157.99
gcp:asia-northeast1,gcp:us-west1,88.12
gcp:asia-southeast1,aws:ap-northeast-1,70.58
gcp:asia-southeast1,aws:ap-southeast-1,1.55
gcp:asia-southeast1,aws:eu-west-1,241.15
gcp:asia-southeast1,aws:sa-east-1,330.58
gcp:asia-southeast1,aws:us-east-1,226.91
gcp:asia-southeast1,aws:us-west-2,170.72
gcp:asia-southeast1,azure:brazilsouth,325.01
gcp:asia-southeast1,azure:eastus,225.67
gcp:asia-southeast1,azure:japaneast,73.88
gcp:asia-southeast1,azure:southeastasia,1.73
gcp:asia-southeast1,azure:westeurope,161.49
gcp:asia-southeast1,azure:westus2,162.51
gcp:asia-southeast1,gcp:asia-northeast1,72.69
gcp:asia-southeast1,gcp:europe-west1,301.32
gcp:asia-southeast1,gcp:southamerica-east1,322.99
gcp:asia-southeast1,gcp:us-east1,219.94
gcp:asia-southeast1,gcp:us-west1,158.49
gcp:europe-west1,aws:ap-northeast-1,240.89
gcp:europe-west1,aws:ap-southeast-1,244.60
gcp:europe-west1,aws:eu-west-1,22.56
gcp:europe-west1,aws:sa-east-1,191.56
gcp:europe-west1,aws:us-east-1,81.88
gcp:europe-west1,aws:us-west-2,150.62
gcp:europe-west1,azure:brazilsouth,198.22
gcp:europe-west1,azure:eastus,90.57
gcp:europe-west1,azure:japaneast,238.65
gcp:europe-west1,azure:southeastasia,174.15
gcp:europe-west1,azure:westeurope,14.98
gcp:europe-west1,azure:westus2,155.67
gcp:europe-west1,gcp:asia-northeast1,240.11
gcp:europe-west1,gcp:asia-southeast1,301.33
gcp:europe-west1,gcp:southamerica-east1,194.17
gcp:europe-west1,gcp:us-east1,91.02
gcp:europe-west1,gcp:us-west1,141.23
gcp:southamerica-east1,aws:ap-northeast-1,259.28
gcp:southamerica-east1,aws:ap-southeast-1,328.11
gcp:southamerica-east1,aws:eu-west-1,198.53
gcp:southamerica-east1,aws:sa-east-1,2.31
gcp:southamerica-east1,aws:us-east-1,121.99
gcp:southamerica-east1,aws:us-west-2,175.57
gcp:southamerica-east1,azure:brazilsouth,4.02
gcp:southamerica-east1,azure:eastus,116.15
gcp:southamerica-east1,azure:japaneast,260.58
gcp:southamerica-east1,azure:southeastasia,327.46
gcp:southamerica-east1,azure:westeurope,190.70
gcp:southamerica-east1,azure:westus2,179.47
gcp:southamerica-east1,gcp:asia-northeast1,252.21
gcp:southamerica-east1,gcp:asia-southeast1,317.60
gcp:southamerica-east1,gcp:europe-west1,194.14
gcp:southamerica-east1,gcp:us-east1,117.37
gcp:southamerica-east1,gcp:us-west1,170.60
gcp:us-east1,aws:ap-northeast-1,157.39
gcp:us-east1,aws:ap-southeast-1,230.87
gcp:us-east1,aws:eu-west-1,96.64
gcp:us-east1,aws:sa-east-1,127.84
gcp:us-east1,aws:us-east-1,18.78
gcp:us-east1,aws:us-west-2,69.59
gcp:us-east1,azure:brazilsouth,126.95
gcp:us-east1,azure:eastus,19.72
gcp:us-east1,azure:japaneast,157.98
gcp:us-east1,azure:southeastasia,223.70
gcp:us-east1,azure:westeurope,99.81
gcp:us-east1,azure:westus2,69.96
gcp:us-east1,gcp:asia-northeast1,159.09
gcp:us-east1,gcp:asia-southeast1,221.56
gcp:us-east1,gcp:europe-west1,91.03
gcp:us-east1,gcp:southamerica-east1,117.29
gcp:us-east1,gcp:us-west1,63.69
